year,fire_name,acres,county,latitude,longitude
2013,201813079,0.1,Riverside,33.975267,-117.098983
2013,201813080,0.1,Mendocino,39.485433,-123.778467
2013,201813081,0.1,Orange,33.88982,-117.751819
2013,201813082,0.1,Siskiyou,41.288167,-121.562167
2013,201813083,0.1,Santa Clara,37.146567,-121.9871
2013,201813085,0.09,San Mateo,37.311717,-122.275983
2013,201813086,0.08,Madera,37.082583,-120.2067
2013,201813087,1.0,Santa Clara,36.96395,-121.40805
2013,201813088,13.0,Mariposa,37.4865,-119.961717
2013,201813089,11.0,Napa,38.233317,-122.335817
2013,201813090,1.0,El Dorado,38.589233,-120.60165
2013,201813091,7.0,Humboldt,40.218867,-123.599117
2013,201813092,5.0,Placer,38.868083,-121.349367
2013,201813093,1.0,Yuba,39.2141,-121.510733
2013,201813094,1.0,Lassen,40.357833,-120.832333
2013,201813095,1.0,San Mateo,37.473,-122.414333
2013,201813096,1.0,Butte,39.840983,-121.8057
2013,201813097,1.0,Tehama,39.873083,-122.208717
2013,201813098,1.0,Merced,37.262817,-120.288617
2013,201813099,1.0,San Bernardino,34.120067,-117.246067
2013,201813100,5.0,Madera,36.865983,-120.381717
2013,201813101,100.0,Madera,37.071717,-119.763433
2013,201813102,74.0,Yuba,39.19855,-121.29845
2013,201813103,1.0,Santa Cruz,37.017333,-122.062533
2013,201813104,0.05,Lassen,40.327733,-120.946133
2013,201813105,0.05,Plumas,40.358,-121.184117
2013,201813106,0.02,Mariposa,37.491933,-119.791083
2013,201813107,0.02,El Dorado,38.816417,-120.864967
2013,201813108,2.0,Humboldt,41.27725,-123.814717
2013,201813109,2.0,Monterey,36.526533,-121.417967
2013,201813110,0.1,Santa Cruz,36.9665,-121.731067
2013,201813111,0.1,El Dorado,38.682567,-120.852333
2013,201813112,0.1,Inyo,37.412783,-118.61445
2013,201813113,0.1,Butte,39.45365,-121.451983
2013,201813114,0.1,Siskiyou,41.6239,-122.7175
2013,201813115,0.1,Siskiyou,41.3589,-122.371067
2013,201813116,0.1,San Benito,36.6779,-121.290033
2013,201813117,0.1,Mendocino,39.71755,-123.296783
2013,201813119,0.1,Riverside,33.463117,-114.730767
2013,201813120,0.1,Santa Cruz,37.0882,-122.0463
2013,201813121,0.1,Santa Cruz,36.886017,-121.82775
2013,201813122,0.1,Madera,37.324267,-119.61715
2013,201813123,0.1,Merced,37.360667,-120.549417
2013,201813124,0.1,Tulare,35.9096,-118.914483
2013,201813125,0.1,San Diego,33.419133,-116.58785
2013,201813126,0.1,Sonoma,38.17405,-122.522283
2013,201813127,0.1,Riverside,33.931117,-117.5698
2013,201813129,0.1,Riverside,33.772933,-116.963167
2013,201813130,0.1,Monterey,36.781967,-121.692767
2013,201813131,0.1,Shasta,40.480283,-122.293217
2013,201813132,0.1,San Diego,32.950167,-116.964
2013,201813133,0.1,Riverside,33.667467,-117.322367
2013,201813134,0.1,San Diego,33.416283,-117.15195
2013,201813135,0.1,Trinity,40.624283,-122.969517
2013,201813136,0.1,Siskiyou,41.32715,-122.068167
2013,201813137,0.1,Siskiyou,41.694333,-122.796617
2013,201813138,0.1,Siskiyou,41.327283,-122.78755
2013,201813139,0.1,San Luis Obispo,35.449983,-120.932583
2013,201813140,0.1,Siskiyou,41.321767,-122.343
2013,201813141,0.1,Shasta,40.5348,-122.3044
2013,201813142,0.1,Fresno,36.5615,-119.892933
2013,201813143,0.1,Lassen,40.9645,-120.903
2013,201813145,0.1,Sonoma,38.508333,-122.987017
2013,201813146,0.1,Merced,36.96945,-120.880517
2013,201813147,0.1,Riverside,33.588183,-114.570317
2013,201813148,0.1,Madera,37.058283,-119.921317
2013,201813149,0.1,Merced,37.344467,-120.878233
2013,201813151,0.1,Riverside,33.942367,-117.555783
2013,201813152,0.1,Amador,38.547183,-120.830733
2013,201813153,0.1,Napa,38.547933,-122.5126
2013,201813154,0.1,Placer,39.2486,-120.708883
2013,201813155,0.1,San Bernardino,34.354933,-117.24805
2013,201813156,0.1,Humboldt,40.82905,-124.072983
2013,201813157,0.1,Nevada,39.36005,-120.120917
2013,201813159,0.1,Del Norte,41.547,-124.062967
2013,201813160,0.1,Mendocino,39.285533,-123.58315
2013,201813161,0.1,Fresno,36.150917,-120.3189
2013,201813162,0.1,Lake,39.09075,-122.607033
2013,201813163,0.1,Butte,39.865383,-121.608517
2013,201813164,0.1,Riverside,33.637983,-117.116567
2013,201813165,0.1,San Bernardino,34.4347,-117.554833
2013,201813166,0.1,Shasta,40.520267,-122.3055
2013,201813167,0.1,Mendocino,39.370217,-123.388667
2013,201813168,0.1,Merced,37.247883,-120.40775
2013,201813169,0.1,Shasta,40.989567,-121.376183
2013,201813170,0.1,Humboldt,40.8745,-123.9932
2013,201813171,0.1,Merced,37.459567,-120.81095
2013,201813172,0.1,Butte,39.68615,-121.462417
2013,201813173,0.1,Napa,38.2574,-122.278883
2013,201813174,0.1,Madera,37.09755,-120.446367
2013,201813175,0.1,El Dorado,38.796283,-120.880183
2013,201813176,0.1,Riverside,33.921217,-117.5164
2013,201813177,0.1,Shasta,40.495033,-122.386833
2013,201813178,0.1,Del Norte,41.775617,-124.18035
2013,201813179,0.1,Merced,37.258417,-120.397467
2013,201813180,1.0,San Benito,36.548767,-120.8367
2013,201813181,1.0,Humboldt,40.8147,-124.026017
2013,201813182,1.0,Lake,38.79765,-122.553133
2013,201813183,1.0,Mendocino,38.87945,-123.6489
2013,201813184,1.0,Shasta,40.680883,-122.030783
2013,201813185,1.0,Riverside,33.925417,-116.89515
2013,201813186,1.0,San Luis Obispo,35.370067,-120.406317
2013,201813187,75.0,Tehama,40.012083,-122.079817
2013,201813188,1.0,Madera,36.894683,-119.977483
2013,201813189,1.0,Madera,36.9994,-120.033067
2013,201813190,5.0,Merced,37.419617,-120.6676
2013,201813191,1.0,Mendocino,39.9156,-123.57945
2013,201813192,1.0,Stanislaus,37.945,-120.896667
2013,201813193,1.0,Butte,39.516067,-121.581867
2013,201813194,1.0,Humboldt,40.576017,-124.335517
2013,201813195,1.0,Riverside,34.003617,-117.458017
2013,201813196,11.0,Madera,37.1796,-119.83135
2013,201813197,1.0,Riverside,33.755367,-117.283583
2013,201813198,1.0,Merced,37.02195,-120.653717
2013,201813199,1.0,Riverside,33.7127,-116.216433
2013,201813201,1.0,Fresno,36.699017,-119.517717
2013,201813202,1.0,Riverside,33.99945,-117.020433
2013,201813203,1.0,San Bernardino,34.502217,-117.608183
2013,201813204,0.1,San Luis Obispo,35.571867,-120.698433
2013,201813205,0.1,Riverside,33.892833,-117.202183
2013,201813206,0.1,Butte,39.847733,-121.922617
2013,201813207,0.1,Mendocino,39.830783,-123.193167
2013,201813208,0.1,Butte,39.845167,-121.587167
2013,201813209,0.1,Mendocino,39.3823,-123.353333
2013,201813210,0.1,Merced,37.26015,-120.99975
2013,201813211,0.1,Humboldt,40.875567,-123.995183
2013,201813212,0.1,Siskiyou,41.654733,-122.556717
2013,201813213,0.1,Riverside,33.9245,-116.694583
2013,201813214,0.1,Riverside,33.935333,-117.036833
2013,201813215,0.1,Napa,38.165933,-122.211567
2013,201813216,0.25,Merced,37.324533,-120.524167
2013,201813217,0.25,Alameda,37.749417,-121.59935
2013,201813218,2.0,Yuba,39.2298,-121.408283
2013,201813219,1.5,Placer,38.929233,-121.087933
2013,201813220,0.3,Riverside,33.932367,-117.555783
2013,201813221,0.1,Riverside,33.803583,-116.967733
2013,201813222,0.1,Siskiyou,41.7856,-121.712117
2013,201813223,0.1,San Luis Obispo,35.039321,-120.506244
2013,201813224,0.1,Butte,39.34825,-121.7212
2013,201813225,0.1,El Dorado,38.6493,-120.932867
2013,201813226,0.1,Humboldt,40.820683,-123.955883
2013,201813227,0.1,Riverside,33.745233,-117.073317
2013,201813228,0.1,San Benito,36.859467,-121.363533
2013,201813229,0.1,Fresno,36.718683,-119.754683
2013,201813230,0.1,El Dorado,38.733667,-120.479717
2013,201813231,0.1,San Bernardino,34.11575,-117.248783
2013,201813232,0.1,Tehama,40.1378,-121.953083
2013,201813233,0.1,Inyo,37.32365,-118.39025
2013,201813234,0.1,El Dorado,38.686283,-120.90875
2013,201813235,0.1,Mendocino,39.896483,-123.751167
2013,201813237,0.1,Siskiyou,41.671017,-122.761617
2013,201813238,0.1,Merced,37.065867,-120.539467
2013,201813239,0.1,Humboldt,40.334317,-123.932683
2013,201813240,0.1,San Bernardino,34.022267,-117.0754
2013,201813241,0.1,Siskiyou,41.487917,-122.78885
2013,201813242,0.1,Napa,38.490417,-122.412183
2013,201813243,0.1,Lassen,40.3765,-120.725
2013,201813244,0.1,Tuolumne,37.826433,-120.1905
2013,201813245,0.1,Shasta,40.49445,-122.36595
2013,201813246,0.1,Madera,37.271933,-119.772217
2013,201813248,0.1,Merced,37.433717,-120.675467
2013,201813249,0.1,Riverside,33.785233,-116.989367
2013,201813250,0.1,Calaveras,38.221583,-120.490283
2013,201813251,0.1,Merced,37.403833,-120.6496
2013,201813252,0.1,Placer,39.149967,-120.898283
2013,201813253,0.1,San Bernardino,34.2089,-117.477267
2013,201813254,0.1,Mendocino,39.74195,-123.4831
2013,201813255,0.1,Merced,37.248333,-120.271667
2013,201813256,0.1,Riverside,33.664033,-117.385083
2013,201813257,0.1,Mendocino,39.371217,-123.588567
2013,201813258,0.1,Alameda,37.600833,-121.872833
2013,201813259,0.1,Siskiyou,41.478317,-122.457367
2013,201813260,0.1,San Luis Obispo,35.56975,-120.699783
2013,201813261,1.0,Yuba,39.158183,-121.582917
2013,201813262,1.0,Riverside,33.9274,-116.946933
2013,201813263,1.0,Orange,33.4699,-117.682535
2013,201813265,1.0,Fresno,36.2073,-120.097767
2013,201813266,1.0,Placer,38.844933,-121.101167
2013,201813267,1.0,Tehama,40.0154,-122.0963
2013,201813268,1.0,Madera,36.985517,-119.971283
2013,201813269,1.0,Yuba,39.143483,-121.583133
2013,201813270,1.0,Placer,38.95315,-121.107383
2013,201813271,1.0,San Diego,33.1866,-117.120383
2013,201813272,1.0,Placer,39.020833,-120.744683
2013,201813273,1.0,San Luis Obispo,34.99765,-120.38005
2013,201813274,1.0,Amador,38.408867,-120.666667
2013,201813275,1.0,Fresno,36.6324,-119.354267
2013,201813276,1.0,Riverside,33.938017,-116.873133
2013,201813277,1.0,Fresno,36.632533,-120.3882
2013,201813278,1.0,Fresno,36.64835,-119.534717
2013,201813279,1.0,Butte,39.34475,-121.65995
2013,201813280,1.0,Napa,38.396583,-122.36175
2013,201813281,1.0,San Luis Obispo,35.50945,-120.4868
2013,201813282,34.0,Shasta,40.507333,-122.472233
